,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
81,0.0,Fri Jan 05 15:27:42 +0000 2018,1.0,0.0,0.0,2,@BBC,"RT @BBCOne: So, what exactly is #HardSun? ? We'll let the cast and creator of the new drama do the explaining. 

Starts Saturday 6th Januar…"
82,0.0,Fri Jan 05 14:33:07 +0000 2018,1.0,0.0,0.0,2,@BBC,?? An estimated 2.5 billion disposable coffee cups are thrown away every year in the UK. Here are four ways we coul… https://t.co/vbD9THa8mC
83,-0.2732,Fri Jan 05 14:23:24 +0000 2018,0.684,0.198,0.118,2,@BBC,"RT @bbcthree: In 2012, Naomi was the victim of an acid attack carried out by one of her oldest friends. https://t.co/TO8T2go4zq"
84,0.4939,Fri Jan 05 14:00:06 +0000 2018,0.824,0.0,0.176,2,@BBC,"How do you keep your New Year's resolution to save cash? ?
This way, honest... https://t.co/vtkNULVdVW https://t.co/8UciSw865E"
85,0.0,Fri Jan 05 13:33:12 +0000 2018,1.0,0.0,0.0,2,@BBC,Here's how the weather has looked around the world recently. ? ? ? https://t.co/TTYG5JmFJ1 https://t.co/qsRXK9ocgZ
86,0.0,Fri Jan 05 13:03:03 +0000 2018,1.0,0.0,0.0,2,@BBC,New scanning technique reveals secret writing on the papyrus that mummy cases are made from. https://t.co/P3wzAgObHX https://t.co/2DsrzLfTdt
87,-0.4767,Fri Jan 05 12:30:05 +0000 2018,0.744,0.256,0.0,2,@BBC,"When Zac Efron made Michael Jackson cry. ????
#TheGNShow https://t.co/GpSaONsWMG"
88,0.0,Fri Jan 05 12:02:03 +0000 2018,1.0,0.0,0.0,2,@BBC,People commonly believe they shouldn't drink on antibiotics. But the story isn't quite that simple. ??… https://t.co/3xEujlZozj
89,0.0,Fri Jan 05 11:33:04 +0000 2018,1.0,0.0,0.0,2,@BBC,"? @JTimberlake has dropped his new track #Filthy! 
Here's everything we know so far about his comeback. ?… https://t.co/67mmIn0j1s"
90,-0.2023,Fri Jan 05 11:00:07 +0000 2018,0.726,0.154,0.12,2,@BBC,???? MPs are calling for a 25p #LatteLevy on disposable coffee cups - and a total ban unless recycling improves. Wh… https://t.co/ii2sTS0zJz
91,0.0,Fri Jan 05 10:27:02 +0000 2018,1.0,0.0,0.0,2,@BBC,"This #NationalBirdDay, immerse yourself in the British countryside with four minutes of uninterrupted footage from… https://t.co/8rGItvhENP"
92,-0.296,Fri Jan 05 09:00:04 +0000 2018,0.82,0.18,0.0,2,@BBC,Trying to stop suicides in Aokigahara forest in Japan. https://t.co/vMts4cvDWh https://t.co/WthsIMR0OY
93,0.0,Fri Jan 05 08:51:15 +0000 2018,1.0,0.0,0.0,2,@BBC,RT @BBCWorld: A celebration of black female photography https://t.co/D0GOq2Ekh3
